INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I172107686,3111,License Violation,LICENSE PREMISE VIOLATION,A7,28,,12/31/17 22:06,2017,12,Sunday,22,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I172089971,3111,License Violation,LICENSE PREMISE VIOLATION,A7,28,,10/27/17 22:21,2017,10,Friday,22,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I162010130,3111,License Violation,LICENSE PREMISE VIOLATION,A7,28,,2/6/16 23:36,2016,2,Saturday,23,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I152070291,3111,License Violation,LICENSE PREMISE VIOLATION,A7,28,,8/24/15 23:13,2015,8,Monday,23,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I162051731,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,26,,6/29/16 19:01,2016,6,Wednesday,19,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I162006236,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,28,,1/23/16 19:32,2016,1,Saturday,19,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I152064643,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,28,,8/5/15 11:48,2015,8,Wednesday,11,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I182002851,3807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,A7,28,,1/11/18 18:04,2018,1,Thursday,18,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I172081682,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ¾DAMAGE,A7,28,,9/30/17 19:25,2017,9,Saturday,19,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I162069629,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7,26,,8/27/16 11:30,2016,8,Saturday,11,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I162038446,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ¾DAMAGE,A7,28,,5/17/16 11:19,2016,5,Tuesday,11,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I152092182,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ¾DAMAGE,A7,26,,11/6/15 12:31,2015,11,Friday,12,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I172004279,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,A7,26,,1/17/17 2:01,2017,1,Tuesday,2,Part Two,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I172001904,2647,Other,THREATS TO DO BODILY HARM,A7,28,,1/7/17 22:09,2017,1,Saturday,22,Part Two,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I152095952,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A7,28,,11/19/15 9:24,2015,11,Thursday,9,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I172091600,3201,Property Lost,PROPERTY - LOST,A7,26,,11/2/17 10:50,2017,11,Thursday,10,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I152057833,3201,Property Lost,PROPERTY - LOST,A7,28,,7/8/15 8:00,2015,7,Wednesday,8,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I162027194,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,A7,26,,4/8/16 12:25,2016,4,Friday,12,Part Two,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I162064625,351,Robbery,ROBBERY - BANK,A7,26,,8/11/16 15:29,2016,8,Thursday,15,Part One,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I162040103,301,Robbery,ROBBERY - STREET,A7,28,,5/23/16 0:45,2016,5,Monday,0,Part One,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I182001325,801,Simple Assault,ASSAULT - SIMPLE,A7,28,,1/6/18 10:26,2018,1,Saturday,10,Part Two,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I162074904,1402,Vandalism,VANDALISM,A7,26,,9/14/16 1:27,2016,9,Wednesday,1,Part Two,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I162057895,1402,Vandalism,VANDALISM,A7,28,,7/18/16 21:00,2016,7,Monday,21,Part Two,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I172004279,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,A7,26,,1/17/17 2:01,2017,1,Tuesday,2,Part Two,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I152068593,2905,Violations,VAL - OPERATING WITHOUT LICENSE,A7,28,,8/19/15 8:33,2015,8,Wednesday,8,Part Two,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I162018283,3125,Warrant Arrests,WARRANT ARREST,A7,28,,3/8/16 4:30,2016,3,Tuesday,4,Part Three,MERIDIAN ST,42.37048009,-71.03896684,"(42.37048009, -71.03896684)"
I152059260,616,Larceny,LARCENY THEFT OF BICYCLE,A7,28,,7/17/15 22:28,2015,7,Friday,22,Part One,CHELSEA ST,42.37050983,-71.03809464,"(42.37050983, -71.03809464)"
I172106029,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A7,30,,12/24/17 12:36,2017,12,Sunday,12,Part One,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I172106029,423,Aggravated Assault,ASSAULT - AGGRAVATED,A7,30,,12/24/17 12:36,2017,12,Sunday,12,Part One,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I152065034,1001,Counterfeiting,FORGERY / COUNTERFEITING,A7,30,,7/27/15 17:01,2015,7,Monday,17,Part Two,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I172067933,2629,Harassment,HARASSMENT,A7,30,,8/17/17 20:14,2017,8,Thursday,20,Part Two,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I152054541,3115,Investigate Person,INVESTIGATE PERSON,A7,30,,7/2/15 4:37,2015,7,Thursday,4,Part Three,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I172104426,3114,Investigate Property,INVESTIGATE PROPERTY,A7,30,,12/18/17 11:15,2017,12,Monday,11,Part Three,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I172091859,3114,Investigate Property,INVESTIGATE PROPERTY,A7,30,,11/3/17 1:59,2017,11,Friday,1,Part Three,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I172083149,3114,Investigate Property,INVESTIGATE PROPERTY,A7,30,,10/5/17 18:01,2017,10,Thursday,18,Part Three,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I162049399,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A7,30,,6/21/16 22:17,2016,6,Tuesday,22,Part One,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I172077551,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ¾DAMAGE,A7,30,,9/18/17 0:11,2017,9,Monday,0,Part Three,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I172068931,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7,30,,8/20/17 17:00,2017,8,Sunday,17,Part Three,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I162075891,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7,30,,9/17/16 1:45,2016,9,Saturday,1,Part Three,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I162014053,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A7,30,,2/22/16 11:31,2016,2,Monday,11,Part One,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I162014053,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A7,30,,2/22/16 11:31,2016,2,Monday,11,Part One,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I162018952,301,Robbery,ROBBERY - STREET,A7,30,,3/10/16 22:34,2016,3,Thursday,22,Part One,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I172106029,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,30,,12/24/17 12:36,2017,12,Sunday,12,Part Two,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I162053109,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,30,,7/4/16 18:26,2016,7,Monday,18,Part Two,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I152054541,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,30,,7/2/15 4:37,2015,7,Thursday,4,Part Two,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I152106310,3410,Towed,TOWED MOTOR VEHICLE,A7,30,,12/25/15 12:56,2015,12,Friday,12,Part Three,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I172091067,1402,Vandalism,VANDALISM,A7,30,,10/31/17 14:42,2017,10,Tuesday,14,Part Two,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I172068355,1402,Vandalism,VANDALISM,A7,30,,8/18/17 17:00,2017,8,Friday,17,Part Two,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I172068103,1402,Vandalism,VANDALISM,A7,30,,8/18/17 12:41,2017,8,Friday,12,Part Two,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I172036744,1402,Vandalism,VANDALISM,A7,30,,5/9/17 23:34,2017,5,Tuesday,23,Part Two,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I172014680,1402,Vandalism,VANDALISM,A7,30,,2/23/17 8:19,2017,2,Thursday,8,Part Two,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I152079245,3301,Verbal Disputes,VERBAL DISPUTE,A7,30,,9/23/15 13:08,2015,9,Wednesday,13,Part Three,LUBEC ST,42.37051363,-71.03336022,"(42.37051363, -71.03336022)"
I172069121,1402,Vandalism,VANDALISM,A7,30,,8/3/17 19:00,2017,8,Thursday,19,Part Two,GOVE ST,42.3705382,-71.03554718,"(42.37053820, -71.03554718)"
I162068619,1402,Vandalism,VANDALISM,A7,30,,8/24/16 6:29,2016,8,Wednesday,6,Part Two,GOVE ST,42.3705382,-71.03554718,"(42.37053820, -71.03554718)"
I162014360,1402,Vandalism,VANDALISM,A7,30,,2/19/16 10:00,2016,2,Friday,10,Part Two,GOVE ST,42.3705382,-71.03554718,"(42.37053820, -71.03554718)"
I162019294,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),A7,26,,3/12/16 9:33,2016,3,Saturday,9,Other,MAVERICK ST,42.37059085,-71.03994314,"(42.37059085, -71.03994314)"
I162082115,2629,Harassment,HARASSMENT,A7,27,,10/7/16 11:42,2016,10,Friday,11,Part Two,MAVERICK ST,42.37059085,-71.03994314,"(42.37059085, -71.03994314)"
I162069470,3115,Investigate Person,INVESTIGATE PERSON,A7,27,,8/27/16 2:09,2016,8,Saturday,2,Part Three,MAVERICK ST,42.37059085,-71.03994314,"(42.37059085, -71.03994314)"
I162078813,613,Larceny,LARCENY SHOPLIFTING,A7,26,,9/26/16 14:29,2016,9,Monday,14,Part One,MAVERICK ST,42.37059085,-71.03994314,"(42.37059085, -71.03994314)"
I172044054,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,27,,6/3/17 15:18,2017,6,Saturday,15,Part Three,MAVERICK ST,42.37059085,-71.03994314,"(42.37059085, -71.03994314)"
I152098900,3008,Medical Assistance,SUICIDE / SUICIDE ATTEMPT,A7,27,,11/30/15 12:28,2015,11,Monday,12,Part Three,MAVERICK ST,42.37059085,-71.03994314,"(42.37059085, -71.03994314)"
I152056531,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,A7,26,,7/9/15 1:07,2015,7,Thursday,1,Part Two,MAVERICK ST,42.37059085,-71.03994314,"(42.37059085, -71.03994314)"
I172089214,3201,Property Lost,PROPERTY - LOST,A7,27,,10/25/17 11:30,2017,10,Wednesday,11,Part Three,MAVERICK ST,42.37059085,-71.03994314,"(42.37059085, -71.03994314)"
I162072539,1402,Vandalism,VANDALISM,A7,26,,9/6/16 8:12,2016,9,Tuesday,8,Part Two,MAVERICK ST,42.37059085,-71.03994314,"(42.37059085, -71.03994314)"
I152056531,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,A7,26,,7/9/15 1:07,2015,7,Thursday,1,Part Two,MAVERICK ST,42.37059085,-71.03994314,"(42.37059085, -71.03994314)"
I152056394,423,Aggravated Assault,ASSAULT - AGGRAVATED,A7,28,,7/5/15 12:00,2015,7,Sunday,12,Part One,CHELSEA ST,42.37063654,-71.03793213,"(42.37063654, -71.03793213)"
I172080659,1503,Firearm Violations,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",A7,29,,9/27/17 13:19,2017,9,Wednesday,13,Part Two,CHELSEA ST,42.37063654,-71.03793213,"(42.37063654, -71.03793213)"
I172099939,3114,Investigate Property,INVESTIGATE PROPERTY,A7,28,,12/1/17 23:08,2017,12,Friday,23,Part Three,CHELSEA ST,42.37063654,-71.03793213,"(42.37063654, -71.03793213)"
I172073226,619,Larceny,LARCENY ALL OTHERS,A7,28,,9/1/17 16:00,2017,9,Friday,16,Part One,CHELSEA ST,42.37063654,-71.03793213,"(42.37063654, -71.03793213)"
I182002266,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,A7,28,,1/9/18 18:27,2018,1,Tuesday,18,Part One,CHELSEA ST,42.37063654,-71.03793213,"(42.37063654, -71.03793213)"
I172080659,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,29,,9/27/17 13:19,2017,9,Wednesday,13,Part Two,CHELSEA ST,42.37063654,-71.03793213,"(42.37063654, -71.03793213)"
I162014000,3410,Towed,TOWED MOTOR VEHICLE,A7,29,,2/22/16 9:36,2016,2,Monday,9,Part Three,CHELSEA ST,42.37063654,-71.03793213,"(42.37063654, -71.03793213)"
I182003471,1402,Vandalism,VANDALISM,A7,29,,1/13/18 19:00,2018,1,Saturday,19,Part Two,CHELSEA ST,42.37063654,-71.03793213,"(42.37063654, -71.03793213)"
I152084723,1415,Vandalism,GRAFFITI,A7,28,,10/10/15 12:00,2015,10,Saturday,12,Part Two,CHELSEA ST,42.37063654,-71.03793213,"(42.37063654, -71.03793213)"
I152100715,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY ¾DAMAGE,A7,31,,12/6/15 10:18,2015,12,Sunday,10,Part Three,COTTAGE ST,42.37067476,-71.03195605,"(42.37067476, -71.03195605)"
I152071603,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,31,,8/29/15 3:33,2015,8,Saturday,3,Part Two,COTTAGE ST,42.37067476,-71.03195605,"(42.37067476, -71.03195605)"
I162019501,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A7,28,,3/12/16 22:21,2016,3,Saturday,22,Part One,ELBOW ST,42.37074729,-71.03849607,"(42.37074729, -71.03849607)"
I172002142,3625,Other,DANGEROUS OR HAZARDOUS CONDITION,A7,28,,1/8/17 23:00,2017,1,Sunday,23,Part Three,ELBOW ST,42.37074729,-71.03849607,"(42.37074729, -71.03849607)"
I172105348,1402,Vandalism,VANDALISM,A7,28,,12/21/17 16:54,2017,12,Thursday,16,Part Two,ELBOW ST,42.37074729,-71.03849607,"(42.37074729, -71.03849607)"
I162017197,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,A7,28,,3/4/16 11:19,2016,3,Friday,11,Part Two,ELBOW ST,42.37074729,-71.03849607,"(42.37074729, -71.03849607)"
I172035082,1846,Drug Violation,DRUGS - POSS CLASS E,A7,29,,5/4/17 18:51,2017,5,Thursday,18,Part Two,CHELSEA ST,42.37076325,-71.03776962,"(42.37076325, -71.03776962)"
I182000926,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7,29,,1/4/18 12:10,2018,1,Thursday,12,Part Three,CHELSEA ST,42.37076325,-71.03776962,"(42.37076325, -71.03776962)"
I162035463,3410,Towed,TOWED MOTOR VEHICLE,A7,29,,5/7/16 9:05,2016,5,Saturday,9,Part Three,CHELSEA ST,42.37076325,-71.03776962,"(42.37076325, -71.03776962)"
I172030219,3125,Warrant Arrests,WARRANT ARREST,A7,29,,4/18/17 15:00,2017,4,Tuesday,15,Part Three,CHELSEA ST,42.37076325,-71.03776962,"(42.37076325, -71.03776962)"
I172068904,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A7,28,,8/19/17 0:00,2017,8,Saturday,0,Part One,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172024024,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A7,26,,3/26/17 18:30,2017,3,Sunday,18,Part One,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162032853,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A7,28,,4/19/16 2:14,2016,4,Tuesday,2,Part One,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I152055393,724,Auto Theft,AUTO THEFT,A7,28,,7/5/15 8:21,2015,7,Sunday,8,Part One,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162012688,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,A7,28,,2/17/16 10:30,2016,2,Wednesday,10,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162023264,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A7,28,,3/25/16 21:39,2016,3,Friday,21,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162018003,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A7,28,,3/7/16 18:08,2016,3,Monday,18,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162016809,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A7,28,,7/1/15 0:00,2015,7,Wednesday,0,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I152062940,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A7,28,,7/30/15 14:05,2015,7,Thursday,14,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162022638,1001,Counterfeiting,FORGERY / COUNTERFEITING,A7,28,,3/23/16 17:20,2016,3,Wednesday,17,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172081943,2401,Disorderly Conduct,AFFRAY,A7,28,,10/1/17 17:51,2017,10,Sunday,17,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172081943,2405,Disorderly Conduct,DISORDERLY CONDUCT,A7,28,,10/1/17 17:51,2017,10,Sunday,17,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162069096,2407,Disorderly Conduct,ANNOYING AND ACCOSTING,A7,28,,8/25/16 17:45,2016,8,Thursday,17,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162023957,2405,Disorderly Conduct,DISORDERLY CONDUCT,A7,28,,3/28/16 15:05,2016,3,Monday,15,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I182011434,1874,Drug Violation,DRUGS - OTHER,A7,28,,2/12/18 20:28,2018,2,Monday,20,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I182011117,1874,Drug Violation,DRUGS - OTHER,A7,28,,2/11/18 14:56,2018,2,Sunday,14,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I182009602,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A7,28,,2/5/18 21:40,2018,2,Monday,21,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I182008278,1874,Drug Violation,DRUGS - OTHER,A7,28,,1/31/18 7:30,2018,1,Wednesday,7,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I182003165,1874,Drug Violation,DRUGS - OTHER,A7,28,,1/12/18 17:36,2018,1,Friday,17,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172105503,1874,Drug Violation,DRUGS - OTHER,A7,28,,12/22/17 8:48,2017,12,Friday,8,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172085611,1874,Drug Violation,DRUGS - OTHER,A7,28,,10/13/17 18:34,2017,10,Friday,18,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172082753,1874,Drug Violation,DRUGS - OTHER,A7,28,,10/4/17 15:22,2017,10,Wednesday,15,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172081057,1874,Drug Violation,DRUGS - OTHER,A7,28,,9/28/17 17:38,2017,9,Thursday,17,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172057520,1846,Drug Violation,DRUGS - POSS CLASS E,A7,28,,7/16/17 16:00,2017,7,Sunday,16,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172057519,1846,Drug Violation,DRUGS - POSS CLASS E,A7,28,,7/16/17 11:31,2017,7,Sunday,11,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172044023,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,A7,28,,6/3/17 14:33,2017,6,Saturday,14,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172039731,1846,Drug Violation,DRUGS - POSS CLASS E,A7,28,,5/20/17 4:30,2017,5,Saturday,4,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172037150,1874,Drug Violation,DRUGS - OTHER,A7,28,,5/11/17 20:36,2017,5,Thursday,20,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172030633,1874,Drug Violation,DRUGS - OTHER,A7,28,,4/19/17 20:54,2017,4,Wednesday,20,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172027335,1874,Drug Violation,DRUGS - OTHER,A7,28,,4/8/17 13:48,2017,4,Saturday,13,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172026474,1874,Drug Violation,DRUGS - OTHER,A7,28,,4/5/17 14:18,2017,4,Wednesday,14,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172024797,1874,Drug Violation,DRUGS - OTHER,A7,28,,3/30/17 20:48,2017,3,Thursday,20,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172023022,1874,Drug Violation,DRUGS - OTHER,A7,28,,3/24/17 17:23,2017,3,Friday,17,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172018490,1874,Drug Violation,DRUGS - OTHER,A7,28,,3/8/17 16:48,2017,3,Wednesday,16,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172016901,1874,Drug Violation,DRUGS - OTHER,A7,28,,3/2/17 16:40,2017,3,Thursday,16,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172014766,1874,Drug Violation,DRUGS - OTHER,A7,28,,2/23/17 14:21,2017,2,Thursday,14,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172013178,1874,Drug Violation,DRUGS - OTHER,A7,28,,2/17/17 19:36,2017,2,Friday,19,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172005025,1874,Drug Violation,DRUGS - OTHER,A7,28,,1/9/17 7:00,2017,1,Monday,7,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172004786,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A7,28,,1/18/17 19:22,2017,1,Wednesday,19,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172004786,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A7,28,,1/18/17 19:22,2017,1,Wednesday,19,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172001822,1874,Drug Violation,DRUGS - OTHER,A7,28,,1/7/17 14:31,2017,1,Saturday,14,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I172001287,1874,Drug Violation,DRUGS - OTHER,A7,28,,1/5/17 18:40,2017,1,Thursday,18,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162085675,1815,Drug Violation,DRUGS - POSSESSION,A7,28,,10/19/16 14:10,2016,10,Wednesday,14,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162080701,1844,Drug Violation,DRUGS - POSS CLASS C,A7,28,,10/2/16 14:00,2016,10,Sunday,14,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162075666,1815,Drug Violation,DRUGS - POSSESSION,A7,28,,9/16/16 14:10,2016,9,Friday,14,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162075666,1846,Drug Violation,DRUGS - POSS CLASS E,A7,28,,9/16/16 14:10,2016,9,Friday,14,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162064034,1874,Drug Violation,DRUGS - OTHER,A7,28,,8/9/16 20:09,2016,8,Tuesday,20,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162055204,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A7,28,,7/11/16 18:22,2016,7,Monday,18,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162052823,1845,Drug Violation,DRUGS - POSS CLASS D,A7,28,,7/3/16 16:30,2016,7,Sunday,16,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162052507,1844,Drug Violation,DRUGS - POSS CLASS C,A7,28,,7/2/16 13:47,2016,7,Saturday,13,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I162052507,1846,Drug Violation,DRUGS - POSS CLASS E,A7,28,,7/2/16 13:47,2016,7,Saturday,13,Part Two,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
